a,b,c
894,824,921
875,824,847
789,832,796
792,886,781
933,957,789
1003,921,824
1015,843,855
925,828,902
816,875,875
820,917,816
910,937,789
945,859,789
906,816,808
828,824,835
808,851,855
882,921,910
976,953,890
988,882,816
921,843,796
882,847,781
910,898,796
960,921,820
972,878,828
910,820,875
855,804,867
847,835,800
941,875,773
964,902,769
921,851,769
878,816,792
855,808,828
867,832,886
886,871,906
894,886,878
882,820,871
871,785,863
882,781,828
925,816,800
941,839,785
914,875,785
871,843,800
839,796,832
886,792,863
964,851,898
976,832,925
917,800,984
855,812,988
828,835,949
863,894,871
906,859,792
898,906,761
878,914,753
855,843,753
871,808,761
953,812,812
1000,816,839
945,835,859
839,859,894
785,871,925
843,878,921
941,859,878
949,894,804
902,820,785
832,796,773
789,785,777
863,800,789
929,835,832
937,851,875
894,886,890
851,921,921
859,863,937
937,816,882
972,808,824
917,808,789
894,847,781
878,871,773
910,925,769
960,886,781
937,835,828
878,824,886
820,839,929
835,863,964
910,894,976
949,921,964
898,933,902
843,859,832
847,812,800
906,800,792
933,820,789
910,847,812
855,886,871
859,914,921
890,898,980
929,832,1007
1003,808,1000
945,808,925
847,812,820
835,859,773
875,878,761
925,937,761
886,941,785
832,859,839
816,824,910
835,828,988
871,839,1015
902,867,996
929,890,945
871,945,835
824,878,769
835,828,750
875,828,750
867,843,769
863,886,839
800,898,863
804,921,910
839,937,953
925,875,972
949,808,976
910,789,902
828,800,808
808,824,773
843,871,781
910,921,820
921,878,804
867,824,851
804,808,925
796,824,1003
843,832,1015
875,878,960
875,878,871
812,917,808
812,886,777
820,832,773
871,835,777
902,855,789
898,886,824
828,894,917
812,917,988
824,941,1054
867,886,1054
914,820,1003
886,804,929
839,816,824
828,832,777
851,855,761
886,894,769
921,929,796
855,867,882
804,820,917
800,824,937
816,832,949
839,867,949
886,882,886
863,933,820
804,960,777
800,925,765
824,835,789
859,820,843
886,828,933
851,859,984
812,894,1019
812,925,992
843,902,972
890,843,882
902,832,800
835,855,753
792,890,742
789,949,750
816,976,796
863,933,839
867,863,921
828,843,980
792,851,988
796,863,988
832,921,976
851,984,902
882,1027,855
832,949,847
808,855,863
812,843,886
851,839,921
882,875,953
886,902,925
839,957,867
796,976,878
800,875,917
824,828,871
871,828,835
929,843,832
890,894,843
828,941,859
847,972,878
925,933,886
917,867,878
902,851,910
832,863,949
804,894,933
800,937,917
851,980,863
910,976,832
933,898,789
875,859,792
835,875,785
847,855,792
921,910,820
933,941,878
871,941,917
816,867,988
808,843,1003
824,832,976
851,843,875
886,867,812
847,921,796
800,960,800
804,890,820
847,820,878
898,816,945
917,816,957
855,820,968
816,847,925
804,898,882
847,960,820
878,953,781
871,855,753
820,820,757
796,820,777
808,847,839
839,886,859
863,945,921
882,992,980
843,878,1003
808,828,921
812,816,832
843,851,781
871,882,777
871,867,785
824,851,808
812,777,835
808,726,855
863,705,894
902,697,917
890,722,898
843,855,875
816,933,832
820,964,808
871,968,808
902,914,816
859,847,847
816,808,921
800,824,992
812,929,1023
835,996,1000
878,1007,953
867,953,871
824,898,789
828,816,761
890,738,746
945,710,742
949,691,769
871,695,824
812,769,871
789,812,859
816,812,824
863,789,769
894,789,777
835,847,777
812,957,796
820,992,820
847,1011,847
890,945,785
917,859,757
863,804,738
828,804,734
835,859,781
859,937,847
890,964,859
875,921,847
812,843,847
796,800,839
808,796,808
839,835,765
890,921,722
871,949,703
812,933,683
796,851,683
789,804,730
839,796,820
878,820,914
867,863,945
816,937,968
804,980,992
808,972,992
847,882,984
886,812,925
894,792,871
832,796,843
812,824,839
816,898,839
847,984,847
875,1000,886
898,871,917
832,808,984
792,820,1019
789,855,996
808,839,894
843,859,843
890,917,832
851,953,828
812,894,843
812,835,867
859,820,882
886,878,906
824,894,937
781,839,929
781,851,906
820,914,828
863,914,789
894,851,773
886,835,734
828,886,757
804,933,847
816,875,914
847,871,945
898,824,972
890,832,968
824,843,976
828,882,964
843,910,843
882,925,804
933,929,785
878,847,765
820,781,785
832,769,855
886,765,894
917,781,949
917,843,988
855,871,972
820,937,929
800,882,863
832,816,796
886,792,777
933,796,773
902,820,785
859,859,820
855,902,898
914,,945
960,,972
898,,992
,,988
