a,b,c
917,945,1003
1007,917,968
910,906,937
902,898,925
1023,882,949
1074,902,1000
1027,964,1015
964,1000,1003
921,941,1003
1015,890,988
1039,875,972
1000,925,914
925,960,875
914,988,835
1007,988,820
1058,921,835
1023,886,941
937,867,945
921,882,1011
1011,941,1019
1023,984,992
1007,976,949
964,921,886
925,882,843
1011,851,843
1039,863,910
1027,917,933
960,957,957
941,968,1035
1011,945,1058
1011,894,1027
957,863,992
898,859,914
890,906,867
964,953,832
1011,976,828
1023,953,863
949,910,925
910,878,968
914,871,1027
984,917,1019
992,949,1003
921,976,957
890,937,925
878,898,875
960,871,855
953,859,843
906,921,871
871,984,949
839,976,1011
894,960,1015
976,886,1042
988,851,1011
960,828,957
933,859,906
925,953,894
996,960,878
1011,945,917
988,933,1035
921,914,1066
925,902,1070
1000,890,1027
1015,949,976
1000,984,914
949,976,886
917,941,843
972,902,835
1042,886,871
984,882,921
929,925,988
925,976,1039
1003,1000,1082
1027,937,1097
1007,910,1085
945,906,1027
925,890,945
988,910,890
1027,945,871
964,957,882
921,914,949
910,894,1031
945,882,1039
957,863,1046
925,914,1000
902,976,921
867,976,894
894,949,867
941,914,843
976,882,843
941,859,882
894,894,957
871,949,996
890,1007,996
937,984,988
968,960,968
933,914,933
906,878,886
894,847,855
937,886,871
937,945,906
917,968,953
898,941,1054
871,910,1062
917,875,1039
933,855,1003
921,871,925
902,925,875
886,1000,843
914,984,839
945,937,855
957,906,890
914,882,1015
886,906,1039
855,949,1035
917,968,1019
972,953,964
984,929,925
968,902,882
933,867,835
960,902,816
1023,941,843
1035,968,921
953,953,1046
914,933,1062
945,902,1050
1000,882,1042
1007,910,1003
964,957,960
933,988,898
941,1015,878
980,1023,875
960,957,894
933,917,960
902,894,1011
875,910,1046
917,984,1062
945,996,1042
960,984,972
910,941,937
898,914,906
894,902,886
914,941,832
917,1031,851
894,1027,894
871,972,964
859,937,1050
902,910,1042
921,960,984
933,968,937
910,972,871
886,941,820
882,898,800
917,867,812
933,878,863
890,921,980
867,933,1074
855,964,1093
882,984,1093
925,914,1066
929,835,1011
906,812,902
894,804,875
910,858,875
953,965,882
957,1035,984
917,1066,1035
882,1027,1066
875,960,1050
917,906,1003
953,910,937
957,980,894
937,1054,871
890,1042,882
902,968,933
945,914,988
984,929,1042
957,996,1074
921,1023,1050
914,1050,1007
968,968,957
972,933,902
925,933,921
898,960,929
886,1015,933
964,1023,964
1003,980,988
984,917,968
941,871,917
902,851,1023
937,882,1039
953,945,1003
949,968,925
929,984,871
898,945,855
863,917,855
933,886,925
968,875,1000
949,894,1035
910,953,1054
894,968,1015
949,949,914
960,898,878
941,863,835
894,847,843
859,890,851
890,945,882
941,980,972
949,937,992
929,882,1031
902,859,1023
902,867,992
941,890,960
960,937,925
960,949,921
910,929,921
882,941,929
917,929,972
972,910,1058
972,890,1070
941,917,1058
906,972,1039
921,996,937
960,976,914
1015,933,890
984,894,906
953,859,964
925,851,1035
945,898,1050
972,953,1070
976,1000,1042
949,968,1003
917,933,917
949,906,855
1007,886,812
976,953,800
937,988,863
917,953,945
949,933,996
976,886,1070
1000,886,1089
949,925,1054
917,1007,1003
929,1027,917
972,984,875
980,941,839
933,898,828
914,851,882
914,832,914
964,906,980
960,1031,1058
921,1070,1074
867,1031,1035
863,992,992
894,945,910
945,902,875
972,886,867
941,839,890
921,843,910
906,898,1000
949,890,1000
941,953,1011
890,945,992
859,933,953
871,1046,937
925,1023,906
957,960,917
945,894,914
921,867,914
906,894,867
902,949,972
941,976,992
941,980,1027
937,937,1000
902,902,972
871,871,910
929,871,855
949,906,824
929,992,914
902,1023,976
886,1000,1000
890,964,1050
917,914,1031
957,902,1050
906,914,1042
890,988,1000
902,1019,929
960,937,910
976,898,914
933,878,957
929,890,1023
902,937,1082
917,972,1117
925,984,1066
921,945,1019
894,894,933
867,875,878
855,875,855
914,894,839
960,949,875
914,996,933
898,992,988
851,917,1035
914,875,1035
925,843,996
902,843,937
898,878,933
882,933,898
890,960,867
941,898,863
953,886,898
937,863,914
894,886,1011
851,925,1011
847,968,988
875,984,
925,949,
945,910,
933,871,
917,839,
964,835,
964,863,
,960,
