a,b,c
1023,1082,1128
972,1042,1101
992,1042,1093
1082,1085,1066
1117,1093,1085
1140,1113,1101
1093,1117,1117
1121,1062,1121
1156,1035,1109
1171,1015,1113
1105,1054,1085
1093,1074,1035
1152,1105,1007
1171,1062,1003
1046,1027,1062
1003,1031,1093
1085,1082,1093
1128,1105,1109
1113,1093,1101
1039,1050,1105
1085,1000,1070
1144,996,1054
1164,1039,1042
1109,1082,1050
1070,1109,1097
1109,1109,1128
1152,1058,1121
1121,1035,1132
1000,1062,1117
1042,1105,1046
1121,1101,1011
1140,1070,1000
1070,1035,1019
1042,1011,1058
1109,1039,1097
1148,1113,1109
1160,1125,1082
1042,1101,1078
1019,1058,1039
1109,1015,1003
1160,996,984
1117,1074,1000
1054,1105,1019
1062,1101,1082
1125,1062,1121
1136,1007,1121
1050,1007,1109
1011,1070,1042
1078,1121,1003
1089,1117,1011
1062,1093,1011
972,1039,1031
1011,1019,1089
1140,1042,1097
1125,1101,1109
1066,1140,1074
996,1105,1074
1058,1070,1031
1101,1027,988
1132,1050,984
1023,1101,1027
1031,1128,1054
1121,1089,1066
1109,1058,1039
1093,1046,1007
996,1031,1015
1003,1082,1035
1058,1105,1003
1093,1113,968
1066,1066,980
1015,1031,996
1054,1027,1027
1066,1058,1066
1042,1082,1085
910,1109,1082
902,1082,1074
949,1027,1027
1121,1000,1019
1113,1027,1046
1050,1070,1054
1011,1101,1062
1027,1105,1085
1101,1050,1105
1117,1011,1109
1023,1042,1105
988,1109,1105
1066,1125,1082
1148,1113,1042
1140,1054,1019
1082,1011,1011
1070,1011,1039
1132,1062,1062
1144,1097,1109
1085,1093,1105
1058,1070,1105
1074,1015,1058
1121,1015,1023
1132,1058,996
1074,1117,996
1062,1125,1031
1113,1097,1089
1125,1027,1113
1101,1000,1105
1093,1015,1082
1125,1054,1035
1156,1058,1007
1117,953,980
1058,925,976
1058,1000,1003
1121,1042,1035
1152,1113,1050
1097,1136,1062
1070,1097,1019
1113,1058,925
1121,1011,935
1117,1003,900
1066,1082,886
1039,1125,902
1078,1125,1031
1101,1078,1105
1152,1050,1109
1109,1082,1140
1097,1113,1152
1132,1156,1152
1136,1160,1101
1105,1148,1015
1058,1121,996
1074,1082,1003
1136,1062,1042
1136,1132,1101
1105,1152,1152
1089,1117,1152
1117,1070,1128
1132,1019,1109
1085,1054,1050
1050,1105,1015
1085,1164,1007
1152,1125,1042
1144,1066,1097
1082,1019,1132
1101,1035,1179
1144,1117,1167
1132,1144,1125
1082,1144,1082
1050,1105,1042
1066,1101,1027
1113,1101,1042
1113,1152,1089
1066,1140,1132
1054,1113,1140
1105,1066,1136
1121,996,1125
1078,1031,1101
1035,1070,1050
1039,1109,1039
1097,1121,1054
1117,1062,1117
1070,1023,1152
1066,1050,1156
1101,1136,1140
1121,1156,1132
1105,1144,1117
1058,1078,1085
1035,1007,1058
1101,1019,1062
1105,1074,1089
1070,1125,1117
1039,1140,1132
1074,1105,1148
1125,1027,1128
1113,1019,1082
1066,1074,1046
1035,1121,1031
1105,1144,1062
1121,1117,1109
1082,1082,1136
1019,1058,1128
1027,1113,1136
1078,1156,1109
1109,1136,1070
1070,1097,1031
1031,1046,1023
1042,1027,1046
1089,1066,1054
1093,1121,1089
1058,1152,1085
1035,1117,1078
1070,1089,1078
1117,1050,1074
1078,1085,1027
1035,1128,1000
1046,1136,996
1070,1113,1000
1089,1062,1039
1042,1042,1058
1015,1089,1062
1011,1132,1117
1066,1144,1097
1105,1125,1074
1070,1066,1031
1042,1039,992
1074,1066,980
1101,1128,1015
1078,1156,1050
1042,1140,1082
1019,1078,1109
1066,1027,1109
1117,1070,1078
1082,1144,1066
1039,1160,1042
1066,1136,1011
1097,1085,1039
1113,1050,1074
1054,1074,1113
1054,1125,1125
1085,1140,1101
1109,1144,1085
1085,1085,1074
1015,1128,1027
1007,1144,1011
1089,1074,1023
1121,1019,1046
1078,1054,1074
1031,1125,1132
1027,1156,1121
1089,1140,1085
1113,1117,1070
1054,1066,1023
1023,1074,988
1058,1125,992
1105,1144,1027
1089,1148,1082
1023,1105,1121
1011,1058,1121
1062,1039,1121
1109,1058,1109
1089,1074,1054
1039,1101,1011
1031,1136,996
1082,1156,1015
1078,1132,1058
1039,1082,1078
992,1011,1082
1023,996,1074
1101,1054,1074
1105,1109,1035
1039,1128,992
1000,1089,980
1050,1062,1000
1113,1042,1019
1085,1085,1058
1027,1113,1101
1019,1125,1117
1082,1078,1105
1128,1046,1062
1085,1035,1023
1054,1082,992
1074,1117,996
1121,1140,1000
1128,1128,1015
1082,1097,1054
1050,1078,1101
1082,1101,1078
1121,1121,1074
1093,1132,1058
1050,1097,1027
1042,1066,996
1093,1046,1003
1117,1062,1035
1070,1101,1058
1042,1132,1082
1054,1132,1074
1093,1070,1085
1105,1011,1082
1062,1023,1046
1027,1093,1015
1085,1121,1007
1101,,1027
,,1078
,,1101
,,1109
,,1097
