a,b,c
656,718,730
738,734,710
781,773,734
816,792,769
832,796,796
828,781,816
808,804,808
781,769,800
730,753,785
703,714,785
679,687,777
687,667,796
750,656,796
769,667,808
753,738,761
742,734,750
742,730,746
730,710,753
769,691,792
800,679,824
777,675,828
750,687,816
722,734,800
703,792,773
703,773,757
726,742,734
761,734,722
750,714,718
726,691,710
726,675,703
730,683,722
765,687,757
789,707,742
781,742,746
761,742,789
746,726,796
757,703,769
781,683,753
785,664,734
773,648,707
757,652,675
714,679,652
699,714,640
691,746,640
710,734,674
753,718,751
761,687,667
750,628,656
738,605,746
730,605,765
726,625,781
742,660,781
757,738,781
742,769,750
710,753,699
703,753,691
687,722,695
675,683,734
714,660,792
722,656,804
726,667,808
710,777,789
679,777,750
675,773,734
656,753,726
664,730,734
687,699,722
695,671,738
703,683,757
687,750,742
687,789,691
671,824,675
675,808,707
695,804,726
714,781,708
707,742,709
679,726,710
656,710,718
636,738,718
640,761,714
707,769,691
742,757,691
746,750,703
730,738,753
726,710,792
718,683,824
753,671,832
769,683,820
757,714,816
738,738,804
718,742,765
695,738,765
691,730,750
714,710,746
761,691,734
777,679,710
757,703,710
726,742,773
699,750,820
683,738,835
710,722,816
753,718,796
769,699,773
757,695,765
742,699,750
734,734,761
734,765,757
742,781,730
777,757,734
761,742,750
750,718,785
718,703,804
707,675,812
707,667,804
746,699,796
769,753,800
750,800,785
753,800,769
742,789,753
734,769,738
753,753,707
800,710,687
796,691,699
765,660,730
734,648,777
722,699,808
726,726,832
746,738,863
773,742,843
753,738,828
722,707,800
710,695,773
707,687,761
718,699,746
757,753,710
765,777,710
738,761,742
730,742,796
707,718,804
695,691,835
687,679,835
714,699,828
734,757,812
726,777,804
730,777,789
703,773,769
691,753,730
710,734,718
742,703,722
726,691,734
710,679,769
699,695,792
683,746,820
679,757,816
710,781,808
769,757,792
757,738,769
757,726,750
753,675,738
730,664,734
707,667,707
738,687,699
773,785,710
761,800,746
746,792,773
726,765,820
718,718,832
699,695,824
718,675,816
738,695,785
750,726,773
738,781,757
710,757,750
699,726,699
691,734,687
718,714,703
738,710,750
730,714,757
718,757,718
691,792,738
683,808,792
695,781,796
718,761,789
730,742,785
707,703,769
683,664,757
656,652,734
648,648,730
656,652,722
687,722,730
722,777,796
714,757,804
671,750,832
613,761,843
609,750,816
605,718,816
621,703,808
699,703,789
738,734,757
726,773,703
730,773,695
710,769,699
691,769,734
675,757,773
683,718,804
722,703,851
703,691,847
699,726,824
683,750,792
660,757,746
652,769,738
695,769,714
773,734,703
781,710,699
761,699,726
742,703,800
718,746,835
703,765,859
710,765,835
726,765,808
691,757,800
699,714,773
675,699,753
679,683,742
667,707,691
652,765,679
675,789,683
781,796,714
750,792,792
730,769,839
722,734,847
691,718,839
675,726,816
695,769,800
726,785,769
730,792,757
750,773,757
703,765,730
699,726,722
746,714,742
792,703,785
765,707,824
746,734,859
714,757,882
714,765,871
707,750,832
726,746,789
746,699,753
718,683,738
691,671,746
667,691,714
656,757,707
660,785,726
730,777,808
777,769,859
773,765,871
753,769,859
734,707,832
714,683,820
714,679,800
750,730,796
769,761,785
734,789,753
718,789,722
691,785,714
667,777,734
660,773,777
679,734,804
722,714,832
730,707,835
722,738,816
710,777,812
699,785,785
695,777,777
710,753,757
738,718,714
738,691,691
726,703,703
699,761,753
679,769,781
667,773,808
691,765,839
726,750,828
742,718,816
734,710,800
730,710,781
703,734,777
695,781,781
718,816,726
746,812,703
742,792,707
742,773,820
710,761,867
704,730,863
693,738,839
714,746,820
750,785,804
746,816,792
742,800,785
718,789,761
714,750,726
714,726,710
738,738,730
746,789,777
734,812,820
730,812,828
703,808,835
687,804,824
699,750,773
726,718,757
750,707,750
746,730,742
734,804,753
714,812,746
710,808,722
726,789,722
738,746,769
742,726,812
726,699,828
707,671,843
699,675,832
687,734,808
718,777,773
753,777,750
765,765,730
753,746,714
738,738,726
714,703,765
710,691,816
714,679,828
738,707,843
761,781,839
746,808,828
742,835,824
714,820,816
699,800,808
703,773,824
730,730,808
738,687,808
753,703,765
742,804,773
726,800,812
726,808,816
753,804,843
781,773,871
785,761,867
765,761,851
730,808,828
714,816,800
714,812,785
738,792,769
753,750,714
750,742,703
746,750,738
730,800,804
738,832,828
746,820,851
769,796,875
753,777,871
738,757,847
722,769,847
722,757,832
734,769,808
753,769,808
757,742,796
742,796,753
734,804,726
707,781,730
707,757,792
722,734,871
769,722,886
796,695,851
773,683,839
742,683,808
730,738,777
714,781,750
703,804,722
726,808,718
753,808,738
730,785,800
730,757,863
718,738,875
722,742,863
714,773,816
738,808,781
734,800,757
734,792,746
738,792,757
722,769,
722,722,
722,718,
753,738,
753,781,
738,808,
734,808,
718,792,
714,769,
714,746,
761,722,
765,750,
750,808,
738,808,
730,800,
722,777,
746,,
761,,
753,,
742,,
746,,
753,,
765,,
765,,
757,,
734,,
