a,b,c
847,1000,964
890,929,968
902,933,1011
1117,1015,1035
1113,1078,1031
1066,1054,937
1042,1039,957
953,1015,988
878,960,1035
960,937,1074
1148,996,996
1117,1042,1015
1089,1042,1050
1027,1035,1050
886,1015,1046
898,957,964
1312,976,949
1179,1015,988
1074,1082,1015
1062,1035,1019
941,1109,1027
972,1070,1023
1136,1027,1039
1164,1035,1031
1117,949,1042
1117,921,976
1000,992,925
949,1074,929
1050,1093,996
1140,976,1117
1093,996,1105
1074,1054,1050
1015,1066,1031
882,984,1027
929,976,1039
1195,1078,949
1160,1109,925
1125,1078,976
1101,984,1167
1011,968,1207
886,1046,1140
976,1089,1101
1152,1050,1093
1144,992,1089
1097,949,988
988,992,941
914,1062,968
1101,1070,1238
1152,984,1578
1164,937,1250
1113,984,1152
1074,1023,1136
914,1023,1097
933,929,988
1187,953,937
1128,1074,949
1117,1050,1308
1117,1027,1414
980,937,1156
917,933,1125
1117,1054,1128
1160,1058,1078
1117,1019,1003
1082,898,957
949,886,953
921,980,1031
1117,1027,1269
1167,1027,1187
1105,980,1144
1093,910,1109
1042,957,1066
925,1007,976
929,1027,937
1105,980,941
1105,902,1019
1113,921,1160
1058,953,1117
937,984,1062
898,972,1035
1070,906,1007
1183,941,996
1097,1035,933
1058,1058,886
1015,1046,902
894,992,1019
929,1015,1261
1058,1054,1191
1078,1027,1085
1074,996,1035
1054,914,992
910,933,953
914,968,871
1050,988,863
1105,1003,929
1105,898,1171
1082,914,1218
1035,988,1074
933,1042,1042
949,1031,1007
1078,921,996
1101,902,957
1105,941,871
1109,984,878
980,964,929
1027,925,1191
1152,871,1222
1097,917,1078
1062,992,1031
1078,1015,984
1007,1000,960
957,925,898
1050,960,859
1164,1000,875
1148,1023,976
1128,1015,1253
1093,941,1199
957,992,1066
945,1027,1000
1039,1027,964
1101,996,960
1097,945,921
1066,988,859
972,1050,871
968,1050,957
1105,1027,1199
1105,933,1296
1097,964,1132
1089,1031,1050
1007,1046,1011
953,1011,996
984,960,937
1039,996,878
1085,1050,890
1054,1046,945
1000,1023,1351
910,933,1183
929,960,1078
1042,984,1039
1062,1031,1007
1066,1019,964
1027,953,898
906,984,886
921,1019,937
964,1011,1175
1062,1027,1312
1085,921,1117
1097,917,1082
1031,1019,1058
949,1062,1042
996,1046,976
1058,968,902
1042,1042,906
1015,1160,1035
992,1136,1226
972,1074,1167
878,1003,1136
894,1042,1109
1015,1054,1050
1101,1046,1023
1070,957,921
1027,980,882
957,1058,906
894,1101,1113
902,1101,1363
992,1015,1105
1035,1058,1035
1074,1097,1007
1050,1085,984
933,1031,964
937,964,871
1031,1027,875
1066,1105,941
1042,1078,1332
1023,1007,1316
925,972,1128
890,1023,1078
960,1058,1046
1128,1050,1011
1128,1042,933
1101,953,890
1070,945,914
941,1039,1089
945,1066,1296
1019,1066,1171
1121,1023,1109
1082,1027,1054
1054,1070,1031
1042,1039,1003
925,972,902
949,953,878
992,1015,949
1035,1042,1234
1046,1031,1289
1035,960,1093
980,960,1054
914,1019,1015
972,1050,968
1035,1039,906
1027,945,871
1000,945,886
957,1027,1074
871,1050,1359
902,1042,1132
1019,949,1066
1066,960,1050
1050,1046,1054
1050,1058,1015
980,1054,921
914,972,906
988,945,937
1085,968,1230
1074,1031,1261
1042,1031,1089
1007,949,1035
910,929,1011
917,984,1023
1023,1015,968
1171,1015,902
1105,921,917
1089,933,1039
1042,1003,1167
941,1015,1101
960,1003,1011
1050,921,1003
1062,906,988
1050,945,968
1027,1019,906
957,1011,886
898,945,902
925,921,984
1035,960,1105
1050,1003,1105
1039,984,1101
1035,937,1074
910,890,1054
914,910,1023
1027,964,933
1093,976,921
1097,964,960
1046,890,1085
1000,902,1191
910,933,1117
914,968,1058
976,1000,1027
1003,945,992
1023,921,957
988,898,898
921,835,894
886,910,953
917,980,1136
1011,929,1179
1015,949,1070
1003,988,1039
980,980,1000
921,972,988
863,886,964
894,906,871
964,937,875
976,984,933
984,992,1273
984,910,1246
886,925,1117
898,1105,1050
972,1050,1023
1085,1050,988
1035,945,921
984,953,878
968,1015,882
910,1066,964
882,1062,1226
906,949,1199
980,949,1082
1031,1019,1019
1031,1058,1015
1027,1062,996
925,953,917
941,960,921
960,1031,964
1058,1074,1152
1058,1035,1265
1039,953,1117
1019,949,1054
917,1000,1042
910,1031,1023
992,1035,945
1050,957,906
1058,972,925
1066,1046,1035
1035,1105,1367
984,1093,
1007,984,
1046,960,
1046,972,
1023,1027,
,1035,
,957,
,945,
,984,
,1035,
,1035,
