a,b,c
619,824,781
609,777,691
625,757,664
664,796,644
792,847,597
851,847,566
839,839,593
777,820,621
707,781,675
687,707,679
703,687,699
781,703,710
808,722,738
804,804,765
742,851,777
726,855,800
726,832,839
816,761,816
851,695,769
859,679,757
843,664,718
796,710,714
753,878,699
742,878,648
800,847,644
828,828,664
839,746,757
796,695,820
769,710,859
773,746,875
824,832,878
861,863,894
853,855,859
773,832,839
730,761,804
707,699,707
812,687,656
890,675,640
890,710,625
835,769,664
820,804,734
824,828,851
878,832,859
886,785,867
867,730,890
781,687,882
750,687,855
769,761,808
878,847,750
890,886,687
886,871,660
812,839,660
800,769,675
816,738,746
871,750,832
882,781,894
875,847,886
796,867,898
777,875,890
789,835,855
839,750,812
863,726,703
851,730,656
773,746,644
753,843,652
746,855,703
824,855,800
863,875,882
847,800,871
781,765,882
761,757,871
761,753,851
851,796,824
886,820,789
890,839,734
812,816,660
785,765,636
773,703,625
835,667,632
882,687,753
882,691,894
796,757,917
769,800,902
753,835,890
789,816,781
851,785,691
867,703,667
800,691,628
792,683,621
777,710,636
847,781,628
882,828,714
882,824,800
828,804,863
757,757,847
726,707,839
710,679,835
781,679,851
859,707,835
859,785,828
781,804,742
777,816,707
781,812,667
851,804,660
859,714,707
847,687,781
789,695,820
750,746,867
738,792,859
789,809,875
851,815,867
855,804,855
792,738,824
750,699,738
773,667,695
851,679,648
890,714,660
890,789,699
847,828,804
804,839,875
765,843,890
820,781,894
851,742,890
882,730,859
832,730,828
761,785,773
742,804,687
800,835,652
867,847,632
871,820,644
820,761,679
761,738,761
742,746,890
757,773,886
796,828,859
839,847,875
824,843,875
785,828,859
750,750,761
757,718,695
804,726,679
839,750,664
839,824,710
812,852,789
761,854,843
753,839,847
765,769,859
812,722,851
843,730,835
820,746,734
765,804,640
738,832,613
781,820,593
847,832,617
835,777,675
812,699,816
761,699,812
746,695,843
789,773,859
843,839,847
875,855,875
839,863,839
789,859,824
785,769,769
753,742,695
781,734,652
820,753,628
851,796,652
781,800,718
757,800,804
753,816,867
812,777,906
867,691,894
878,675,886
886,675,910
871,718,894
875,781,855
851,828,757
835,812,703
820,835,699
765,812,703
718,734,726
730,707,820
804,679,875
902,695,843
906,726,859
847,773,851
789,750,828
785,730,789
820,667,726
855,671,675
875,664,652
804,687,675
750,710,710
718,726,796
734,726,839
808,726,863
839,730,863
820,722,855
769,656,855
757,640,859
792,628,832
855,640,765
871,679,687
847,722,648
777,707,652
750,742,675
746,738,757
777,722,863
847,652,855
839,648,847
765,621,863
742,632,832
734,660,789
773,718,750
816,695,664
808,664,644
761,601,640
714,597,652
691,625,714
683,617,789
750,632,902
796,671,875
804,707,839
773,769,843
738,796,835
718,808,816
769,796,765
828,742,679
835,691,660
800,660,636
761,648,652
750,671,730
738,738,796
777,792,851
808,808,847
792,820,875
734,804,855
710,703,843
683,691,769
628,714,675
605,753,628
687,839,613
773,847,593
757,855,605
746,839,636
718,734,742
707,714,824
734,699,875
726,730,855
660,769,851
609,816,855
597,847,871
617,847,847
632,800,816
722,750,722
781,710,679
824,691,660
804,734,667
757,789,714
703,835,792
679,843,843
714,839,843
757,765,843
785,710,839
746,707,832
718,730,812
714,816,773
730,824,695
792,824,656
824,832,636
800,820,632
757,734,656
707,703,757
667,710,863
687,738,858
726,800,859
785,820,882
789,828,875
726,816,855
710,792,785
746,714,691
777,687,679
816,660,671
804,664,691
738,714,765
710,761,867
679,792,875
707,796,886
750,785,886
769,703,898
769,679,847
726,652,792
687,679,707
695,753,671
695,828,652
726,863,671
738,843,738
757,808,792
726,738,871
699,722,859
707,726,871
746,757,875
792,773,828
812,789,796
757,808,722
734,800,652
722,759,597
738,678,582
785,632,582
812,632,621
792,679,710
734,792,847
683,843,894
683,828,886
703,835,886
746,808,871
804,718,832
800,687,804
738,687,730
714,734,671
714,789,652
746,800,644
820,785,683
792,695,730
777,605,761
734,601,898
687,601,835
761,625,804
808,664,820
820,781,812
812,816,808
750,800,757
714,792,687
707,785,652
738,695,648
781,667,691
808,667,738
785,699,812
722,753,839
702,800,808
718,820,816
789,835,792
835,769,789
847,714,757
816,675,691
773,679,640
750,710,617
777,804,621
820,824,625
847,820,683
804,808,773
765,738,835
730,710,816
769,703,808
808,761,812
871,820,792
863,820,769
808,812,726
796,800,664
808,753,625
796,691,632
808,664,628
796,667,679
746,726,777
734,808,820
761,835,831
828,851,809
867,828,816
867,773,835
839,679,820
800,648,800
773,648,742
808,667,667
851,785,628
875,820,640
820,820,640
769,824,675
761,804,734
800,734,800
867,691,796
855,691,812
,718,816
,761,820
,796,789
,785,738
,769,664
,703,636
,656,613
,632,617
,613,679
,648,773
,710,
,774,
,807,
,801,
