a,b,c
578,765,792
628,734,785
628,742,757
632,742,738
667,746,722
726,742,730
746,738,738
773,746,750
765,746,753
746,750,757
734,746,765
753,730,742
765,714,726
781,714,718
765,722,726
734,726,742
722,718,746
722,722,753
742,710,761
769,699,757
796,699,777
792,691,777
761,710,769
726,722,757
738,738,738
765,742,738
789,714,734
800,710,734
769,695,703
750,687,687
746,710,691
769,726,699
757,750,714
757,757,742
738,769,781
718,781,800
703,761,816
707,746,808
757,714,796
789,710,789
808,707,761
769,710,738
734,718,710
726,730,707
738,746,699
750,753,714
757,757,742
757,750,773
730,742,808
722,730,824
734,734,824
753,738,804
769,734,808
796,746,789
761,753,757
750,765,750
757,757,738
765,742,730
777,753,734
765,769,730
750,765,746
710,765,800
691,753,824
695,742,824
730,718,812
781,687,773
843,683,769
851,679,769
828,687,746
796,726,742
792,796,742
812,839,757
816,855,769
796,847,789
769,839,773
746,824,777
742,820,761
753,835,761
757,816,750
765,824,714
750,812,699
730,777,687
707,750,687
695,722,691
734,714,722
753,718,742
777,726,773
746,761,777
734,761,777
718,761,781
726,750,773
742,742,761
750,730,757
750,746,750
746,757,726
746,761,710
738,769,703
769,765,707
781,750,718
761,734,734
750,722,769
722,707,769
707,710,761
699,722,750
714,742,742
726,738,734
753,746,750
753,726,722
738,722,707
718,714,687
722,710,691
742,707,687
757,718,703
769,718,726
746,726,746
714,734,746
691,750,750
691,761,757
703,761,746
734,765,750
757,765,722
746,789,703
734,808,679
718,800,671
718,792,667
734,765,679
753,746,699
757,718,707
777,710,718
750,718,726
734,746,738
742,757,753
769,773,750
777,773,746
746,757,738
722,734,710
722,722,710
710,718,703
726,726,691
746,742,691
750,753,691
738,769,703
726,773,707
707,757,722
710,746,718
718,738,726
722,730,726
738,730,718
734,734,714
726,734,699
726,742,695
738,750,695
761,746,691
765,734,695
757,722,703
722,710,718
710,707,738
699,710,746
699,734,753
730,742,753
746,765,757
769,773,746
785,785,726
757,753,703
753,742,687
777,734,683
792,742,691
792,750,699
757,750,714
730,746,742
710,730,792
699,722,812
718,710,832
718,695,820
746,699,812
761,718,800
750,742,757
738,750,718
742,746,699
769,726,687
757,718,687
761,703,683
746,699,699
730,703,703
726,707,726
742,714,734
753,710,750
753,730,753
742,730,734
718,734,738
707,726,738
707,707,718
726,699,703
738,703,695
742,718,714
738,722,726
730,718,738
703,726,734
695,703,742
714,699,734
730,687,718
750,687,710
765,707,707
757,738,675
746,742,671
746,750,675
750,746,695
757,726,734
750,714,777
738,699,812
730,687,796
718,699,789
734,742,785
742,781,765
750,816,773
746,820,777
738,808,789
730,777,777
730,746,757
742,726,742
734,714,734
738,722,726
722,726,722
714,726,726
710,730,742
710,734,742
722,726,750
746,714,753
773,707,765
773,714,765
753,734,746
738,757,722
722,757,691
734,761,691
722,738,691
722,718,703
714,699,726
722,722,757
714,746,781
714,773,781
722,773,765
718,750,765
722,726,738
710,695,726
703,683,707
687,671,691
683,675,687
695,699,695
691,757,691
683,777,710
675,769,726
671,765,753
667,750,777
675,726,777
710,710,765
718,703,742
742,710,738
750,718,718
734,734,707
734,742,695
726,730,683
734,730,675
734,722,679
714,710,679
707,710,695
703,714,710
703,718,742
699,742,753
714,746,761
718,742,757
726,746,734
718,738,734
699,734,707
699,726,691
687,714,683
683,734,691
699,730,707
703,742,714
707,746,722
710,734,738
703,734,738
710,722,753
726,718,769
730,718,757
738,718,738
726,726,718
714,742,695
707,757,675
699,757,664
710,761,664
722,750,679
726,726,703
722,703,742
710,695,773
695,695,789
679,718,777
675,777,769
687,835,753
710,828,742
718,816,722
734,808,703
718,804,683
703,808,671
710,843,667
722,843,675
726,839,679
730,789,695
707,746,707
695,734,718
675,722,714
679,722,722
691,734,726
699,750,730
703,742,730
710,738,714
710,734,695
699,734,675
703,738,664
722,761,671
738,789,683
738,804,699
730,804,730
710,789,761
707,773,773
707,750,781
718,734,773
722,703,761
722,695,753
718,699,722
714,714,710
714,730,695
726,753,699
714,765,707
714,761,734
699,738,750
679,718,765
664,707,773
683,691,765
699,699,761
742,703,753
789,714,738
789,753,710
765,781,683
746,777,679
742,773,683
753,773,695
757,785,726
750,816,773
746,808,792
734,796,800
722,785,769
718,753,746
730,742,738
730,726,738
726,722,765
718,726,796
707,757,812
703,773,781
710,792,785
742,785,761
765,769,746
792,753,730
800,738,730
804,714,726
792,730,746
796,742,753
796,769,761
781,769,757
769,757,753
750,742,734
746,722,730
730,738,730
734,742,738
761,757,753
792,781,773
796,800,789
789,812,789
785,820,792
781,792,785
781,765,769
769,753,753
746,742,750
726,750,726
710,746,718
699,746,714
718,742,718
753,726,730
773,714,726
792,718,726
800,710,738
765,718,757
742,738,777
746,738,796
761,750,789
734,757,792
730,742,773
707,730,761
691,714,753
699,722,734
726,746,722
761,761,726
773,785,738
781,800,738
765,,757
750,,746
757,,765
769,,753
757,,
