a,b,c
585,667,683
695,703,644
746,707,621
804,738,608
851,734,583
824,691,585
812,652,578
785,648,581
753,640,570
718,644,569
695,667,555
707,691,554
707,726,546
707,746,539
699,746,535
699,730,539
699,699,539
687,687,550
722,667,562
734,660,585
761,656,593
765,675,601
734,707,617
714,746,613
695,738,621
703,722,609
710,695,605
722,667,585
699,656,582
687,652,570
687,660,566
675,675,562
703,687,570
726,691,593
750,656,640
750,632,898
710,632,863
691,628,886
679,621,878
671,609,828
679,613,792
691,632,746
726,675,695
722,726,671
703,746,652
679,738,652
695,718,675
707,707,742
730,679,851
722,671,910
718,687,910
710,695,875
726,714,820
746,718,777
746,695,753
753,671,707
734,667,667
710,683,644
695,675,632
687,652,636
695,648,660
699,648,726
707,648,871
691,664,914
683,703,933
687,753,910
687,792,878
718,792,812
738,773,753
765,742,710
777,718,687
742,695,667
718,679,667
695,675,671
683,687,691
679,699,781
703,710,847
726,734,886
750,707,878
742,679,847
730,679,812
773,683,781
777,683,730
781,687,691
765,675,675
722,660,652
710,648,648
699,648,648
703,660,679
703,714,769
718,792,871
707,855,914
699,847,886
699,796,835
722,750,804
750,726,734
785,703,687
773,707,660
734,703,644
707,734,640
691,734,652
710,730,683
710,703,773
714,691,859
710,675,906
699,660,882
695,660,851
675,679,812
667,710,726
687,769,675
722,796,648
742,789,625
738,746,617
710,710,632
683,687,671
687,679,800
695,679,871
710,695,902
730,730,855
722,746,820
695,746,789
671,703,722
652,683,695
660,667,667
667,660,652
707,671,644
738,687,656
718,730,675
710,757,757
722,730,828
750,699,863
757,679,886
765,667,839
718,664,804
710,671,746
683,679,683
671,707,660
675,734,648
691,753,644
714,746,644
722,707,656
699,671,699
683,656,781
703,640,816
718,632,835
734,648,839
734,667,796
718,734,765
687,757,718
671,753,675
664,718,652
675,695,632
679,667,613
695,660,609
703,664,617
691,683,660
687,718,792
691,757,910
699,722,906
714,703,886
722,699,847
718,691,777
695,707,710
683,722,679
664,738,660
683,753,648
687,734,644
730,714,656
738,703,687
710,695,742
691,695,773
687,695,816
679,710,839
710,734,800
710,738,777
734,750,746
726,746,695
687,707,656
660,687,636
656,675,621
656,664,613
656,675,621
671,699,648
671,714,707
656,710,761
648,710,804
656,691,773
679,671,730
707,656,687
746,640,667
738,632,652
699,636,632
667,656,613
652,722,597
652,796,589
664,812,589
679,808,617
703,769,656
699,726,761
679,699,816
664,679,855
667,675,875
679,695,828
714,722,785
738,734,738
746,714,679
742,703,652
710,671,632
710,656,613
703,644,613
714,656,625
742,703,660
750,777,761
750,863,792
746,859,816
691,820,828
671,761,800
667,714,757
675,687,703
687,679,664
718,683,640
703,703,628
691,738,621
691,750,628
695,726,644
707,707,679
707,699,804
691,714,812
679,746,871
675,753,863
695,750,824
718,738,781
734,726,742
753,695,683
722,679,656
687,667,636
691,660,621
695,671,621
695,699,640
699,757,687
691,808,769
679,808,796
683,769,808
679,753,761
691,726,738
714,722,683
761,722,656
757,738,632
710,730,621
687,730,605
679,718,597
679,699,601
687,683,617
699,671,656
695,660,765
691,656,792
667,660,828
671,679,820
687,730,785
703,761,750
738,757,699
726,738,664
710,695,644
718,675,625
738,656,617
742,648,613
714,648,621
687,671,648
671,707,718
679,792,816
679,816,859
695,792,867
707,730,835
703,707,777
687,691,710
699,695,675
707,703,660
707,722,640
691,722,632
667,726,636
671,703,652
683,695,703
691,679,792
714,675,847
699,671,863
683,707,843
691,757,816
695,804,781
707,777,707
714,750,667
683,707,640
687,691,621
687,671,609
703,671,609
707,679,632
691,714,695
691,750,808
695,785,863
718,750,847
746,726,824
761,707,792
753,703,753
714,695,699
695,722,679
679,722,652
687,734,636
695,738,632
730,718,640
718,707,667
687,683,718
671,660,781
675,648,800
691,628,804
714,636,796
722,636,769
691,687,734
667,710,683
656,753,652
656,722,628
660,691,613
683,675,601
707,664,601
750,675,609
761,699,640
746,714,699
718,734,808
726,734,832
738,722,863
734,691,847
714,679,800
675,660,757
667,656,699
648,667,660
652,687,636
667,742,621
691,777,613
738,765,625
730,742,656
695,718,722
699,695,769
699,675,789
722,664,800
722,679,785
718,695,761
695,718,726
687,769,691
679,753,660
683,726,648
703,738,628
722,742,621
757,757,621
746,750,632
714,699,675
695,683,769
683,664,824
691,671,843
695,675,820
699,691,800
707,699,750
671,691,687
660,667,656
660,652,636
664,640,621
687,640,621
726,636,636
710,664,691
687,710,769
671,773,804
664,828,847
679,816,828
695,769,804
695,726,773
707,691,726
687,671,675
667,667,656
667,671,632
675,671,625
683,695,621
695,703,632
703,675,664
683,656,750
671,644,816
671,636,824
687,652,800
710,691,781
761,738,742
792,769,687
785,753,664
730,742,648
703,707,644
703,687,636
691,667,644
710,656,667
707,660,722
710,675,761
695,691,800
687,714,785
703,750,765
714,734,730
726,703,703
738,671,667
726,652,640
687,636,621
667,644,605
660,667,601
660,710,609
664,769,648
687,761,753
714,738,851
699,722,867
675,699,875
667,683,859
664,679,824
671,695,773
691,691,691
726,707,656
699,699,632
683,695,613
675,664,605
671,644,613
683,632,
687,621,
703,636,
707,683,
683,746,
683,722,
