a,b,c
566,1007,1046
609,875,910
621,1042,804
710,1312,847
1171,1222,914
1035,1113,1375
1039,968,1292
937,863,1101
800,890,1042
757,1261,859
851,1175,796
1214,1058,753
937,976,750
804,824,816
777,757,984
867,785,945
1289,1414,1234
1070,1199,1300
890,1199,1171
789,1074,1066
875,890,996
1355,804,792
1160,855,726
847,1335,691
828,1128,667
1300,1019,675
1156,894,1406
949,812,1203
828,808,1203
816,902,1117
1441,1261,1054
1269,1160,976
1078,1031,816
859,902,757
898,839,714
1378,886,730
1218,1156,1382
871,1097,1296
796,1031,1117
1421,937,1097
1195,851,1058
917,800,1039
832,824,910
851,1011,800
1480,1250,738
1277,1066,734
902,878,1390
824,796,1160
886,773,1062
1414,851,1050
1257,1257,992
937,1023,1019
835,968,921
941,843,796
1378,792,730
1257,800,718
910,734,1429
843,765,1363
1359,1246,1226
1207,996,1082
878,1019,1085
828,863,1074
863,785,855
1406,753,773
1261,765,714
1058,1292,777
886,1058,1371
1343,1031,1117
1191,878,1144
859,800,1097
738,777,1050
757,800,949
1480,1312,800
1289,1089,722
945,1007,703
832,839,902
976,777,1460
1382,761,1250
1222,867,1125
894,1167,1050
824,1027,1023
1027,1031,937
1375,867,812
1167,792,750
859,761,718
824,792,792
1007,1054,1398
1402,1082,1226
1171,1031,1128
875,898,863
867,792,792
1382,757,769
1230,800,757
1078,1019,707
839,1222,687
855,1113,683
1386,1054,710
1246,828,1371
929,871,1269
839,820,1140
1347,914,1058
1234,1214,1015
988,1082,898
843,988,804
839,863,746
1066,828,714
1300,820,714
1007,992,1335
816,1281,1171
839,1011,1058
1406,828,1027
1214,781,1000
1031,757,992
808,1000,925
785,1308,816
1328,1121,746
1152,980,714
957,808,734
816,769,1417
875,722,1261
1359,785,1222
1140,1414,1113
886,1171,1031
804,1066,992
824,957,839
1378,816,781
1121,835,722
894,863,726
839,1199,1398
878,1136,1277
1320,1035,1097
1097,914,1039
855,804,1000
816,773,941
1296,796,808
1187,1339,738
1082,945,691
902,886,683
835,820,804
984,800,1406
1207,847,1152
1078,1441,1125
855,1277,1042
792,1007,1011
910,875,878
1328,792,800
1117,753,730
882,824,703
812,1136,746
789,1328,1355
1375,1140,1167
1152,953,1093
1195,820,1031
1101,769,960
1062,742,937
1089,710,808
863,730,738
781,1234,695
796,1046,695
1386,878,730
1093,800,1347
859,832,972
730,968,1062
722,1222,1019
1363,1117,992
1136,1027,949
890,871,812
804,796,757
812,808,707
1347,832,687
1089,1238,753
925,1058,1433
808,1007,1222
792,902,1132
1402,816,1054
1160,796,1015
890,839,968
816,1429,843
808,1167,773
984,929,722
1371,812,699
1117,773,714
843,808,1398
847,1417,1105
1324,1152,1093
1113,1054,1042
968,921,1050
824,820,871
867,789,808
1359,828,765
1199,1421,738
917,1164,742
824,1011,1039
910,906,1125
1351,789,1082
1167,789,1042
921,808,957
832,1351,917
1394,1085,906
1265,1003,785
1015,843,730
839,800,683
832,773,667
1375,1000,699
1117,1312,1390
890,1175,1085
796,949,988
867,816,996
1410,761,1003
1191,773,816
871,1417,742
812,1125,699
1039,1042,679
1335,925,718
1195,792,707
945,753,804
828,722,1289
1011,804,1136
1277,1449,1054
1179,1296,1003
1062,1031,984
1003,824,851
1093,777,769
1074,843,707
882,1390,691
789,1093,722
730,980,1363
730,847,1070
1484,773,1062
1152,726,1023
1003,785,1003
1117,1386,832
1285,1183,765
1171,1027,699
968,890,679
792,792,738
757,761,1355
957,828,1222
929,1367,1074
804,1136,1050
726,1054,953
699,843,929
738,777,914
1359,781,789
1195,988,718
949,1304,679
816,1109,667
808,1007,863
933,851,1429
1238,800,1296
1058,835,1203
843,1121,1152
851,1207,1128
1285,1105,906
1195,1015,824
937,871,750
839,789,859
910,781,1394
1371,886,1183
1183,1406,1093
921,1183,1019
828,1007,980
906,882,839
1347,824,765
1187,902,707
894,1265,695
835,1093,750
941,1027,1433
1328,871,1250
1097,808,1218
828,820,1148
816,917,1089
953,1296,914
1375,1109,808
1097,925,730
847,832,703
859,816,824
1187,906,1343
1210,1304,1222
1015,1164,1152
843,1066,1085
804,828,1046
953,742,921
1292,707,796
1058,738,738
816,1414,695
828,1136,726
1085,1085,1437
1296,902,1171
1167,828,1218
925,812,1191
851,898,1132
1214,1320,980
1269,1078,855
,863,800
,773,738
,699,816
,671,945
,687,1171
,972,1011
,1281,992
,1082,941
,1019,921
,843,832
,800,781
,835,730
,1351,695
,1246,703
,,933
,,1304
,,1125
,,1132
