a,b,c
785,804,792
769,769,808
710,757,808
710,800,773
902,945,707
1117,960,683
1050,808,679
929,761,699
859,765,761
910,855,796
1050,953,839
1066,941,804
886,800,738
812,746,703
789,746,691
1042,824,703
1058,890,738
953,859,792
875,757,804
863,722,808
996,722,820
1128,781,753
1003,894,722
859,902,714
777,789,722
804,734,796
1132,714,855
1066,722,851
921,796,828
824,847,773
808,859,742
917,769,746
1015,742,742
937,742,804
792,812,832
746,894,812
804,890,808
1062,792,792
1019,746,714
851,750,691
820,800,675
828,820,683
1027,808,734
1046,734,816
917,726,875
796,718,855
769,765,750
785,835,703
1101,882,671
1082,839,667
917,750,679
851,726,710
859,730,753
1019,785,765
1054,871,785
933,902,800
824,796,769
792,742,726
902,730,714
1082,757,703
972,875,734
851,921,785
804,816,808
808,777,824
1066,781,773
1046,851,746
890,917,750
800,914,742
789,839,753
929,785,796
1027,789,820
988,835,828
851,914,816
816,933,804
859,906,808
1023,875,839
1058,781,851
906,722,796
800,707,742
796,707,718
984,777,703
1062,878,703
929,921,710
804,914,753
769,832,847
800,792,863
1035,781,867
1000,781,820
812,824,804
738,867,773
718,871,714
808,863,687
1011,750,679
1027,714,699
855,703,738
765,707,753
746,773,785
828,863,824
1003,914,855
949,890,843
828,855,816
777,792,808
820,750,753
992,738,691
1058,757,667
929,792,660
800,832,671
781,863,710
820,863,777
1070,781,812
1066,734,847
878,726,875
832,730,871
859,769,855
1015,890,812
1062,898,738
945,859,703
832,765,687
796,750,691
867,761,699
1019,789,738
953,890,742
847,914,750
796,933,871
808,890,917
968,800,886
1035,726,835
871,691,800
769,671,761
738,679,726
785,757,699
933,820,699
996,824,718
859,828,796
769,730,902
753,718,960
832,703,937
1019,707,925
1019,742,894
859,777,902
761,824,820
730,839,742
769,792,718
949,730,695
980,707,710
832,707,734
785,714,750
792,750,878
925,777,910
1058,796,878
996,812,843
824,753,808
769,703,792
792,679,773
933,679,691
1000,691,667
863,738,656
769,796,648
750,816,699
753,828,773
875,757,839
980,691,863
835,675,851
781,671,835
777,679,816
851,714,800
910,773,765
945,820,683
800,800,679
750,738,664
730,695,687
765,667,699
906,660,738
1000,656,765
839,691,847
777,750,843
757,789,847
851,781,824
972,742,816
1003,687,785
835,671,769
757,656,746
750,660,710
804,687,710
949,757,738
960,804,765
832,820,800
761,812,816
777,718,804
804,695,792
902,671,773
941,671,757
871,687,750
781,761,714
750,839,699
765,882,718
832,824,757
910,742,789
816,699,839
773,679,898
761,671,890
828,699,867
875,753,835
890,785,789
789,808,753
750,765,707
750,691,679
839,644,664
968,636,675
921,632,726
796,656,816
769,714,820
777,820,855
855,859,843
941,824,824
972,738,781
832,699,726
785,687,683
761,675,652
824,691,632
902,750,621
941,773,617
832,824,621
742,843,636
726,765,660
738,730,687
816,703,714
828,699,757
753,722,773
726,781,765
714,804,769
726,816,769
781,792,757
812,707,695
792,675,664
722,660,644
695,656,636
687,671,636
707,765,675
781,773,710
847,746,796
773,757,828
714,714,824
695,679,789
695,664,757
738,660,761
812,683,746
882,734,699
824,808,660
773,832,640
769,789,632
835,742,675
882,714,761
863,703,917
781,695,989
730,710,920
714,773,859
738,824,843
808,843,812
863,835,714
835,757,667
757,703,648
726,683,640
718,679,652
753,714,714
800,859,812
871,921,882
832,921,945
750,882,910
718,785,878
738,738,820
800,718,781
812,726,750
773,761,671
718,828,656
703,867,640
695,839,640
753,753,660
789,703,707
820,691,777
738,691,847
707,722,835
707,812,816
753,894,800
804,882,785
828,882,742
808,785,687
718,722,667
687,699,652
675,691,652
687,726,703
738,812,781
773,886,812
714,886,820
691,785,808
683,734,792
683,722,765
746,722,742
800,746,738
824,820,714
773,847,695
718,882,664
691,824,644
683,742,644
730,710,671
816,699,722
843,699,824
753,742,886
718,824,890
687,839,886
703,828,859
796,742,839
886,703,777
835,687,687
750,683,664
734,707,640
750,757,632
800,839,640
851,847,671
820,832,683
734,742,703
718,703,750
707,703,722
742,707,710
820,757,687
875,832,652
839,828,660
761,828,664
734,828,644
730,738,640
789,718,648
859,699,671
863,703,714
777,738,726
738,851,789
734,902,792
812,871,796
910,789,781
886,722,761
757,687,734
714,679,722
699,683,679
714,718,652
812,800,640
867,820,648
824,828,707
761,757,800
738,703,847
750,683,875
843,683,875
878,707,859
867,746,832
761,781,789
726,789,773
714,792,761
804,746,679
933,687,660
933,671,648
,660,644
,644,695
,679,835
,753,917
,843,886
,878,875
,835,863
,750,855
,714,792
,699,695
,707,671
,757,656
,796,648
,808,691
,800,730
,718,785
,683,843
,671,843
,671,808
,699,796
,769,742
,847,695
,863,683
,824,632
,742,628
,703,617
,691,621
,703,683
,734,773
,781,843
,,855
,,875
,,878
,,843
,,812
,,738
,,679
,,660
